STATE_FIP,COUNTY_FIP,NAME,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"41","001","Baker County, OR",8.5,9,9.5,8.9,7.4,6.3,5.8,7.1,10.4,4.2,3.4,2.8,3.3,2.7,2.6,6.2,5.4,5.2,4.5,7.2,5.1
"41","003","Benton County, OR",4.5,5.3,5.8,5.4,4.9,4.7,4.1,4.7,8,6.9,4.7,3.5,3.6,3.1,4.9,3.9,3.2,3.1,3,5.6,3.9
"41","005","Clackamas County, OR",5.2,6.9,7.5,6.7,5.5,4.8,4.6,5.7,10.4,10.3,10.9,10.6,9.6,8.3,6.9,4.3,3.7,3.6,3.4,7.2,4.8
"41","007","Clatsop County, OR",5.8,6.9,7.5,6.8,5.8,5,4.7,5.3,9.1,7.1,6.4,6,5.7,5.1,4.3,4.6,4,4,3.7,9.5,6
"41","009","Columbia County, OR",7.7,9.4,10.4,9.1,7.3,5.7,5.7,7.1,13.3,10.1,8.9,8,7.1,6.2,5.2,6,5.1,4.9,4.4,7.9,5.8
"41","011","Coos County, OR",8.4,8.8,9.2,9,7.6,6.7,6.6,8.3,13,10,9.4,8.7,7.8,6.6,5.6,6.3,5.4,5.2,4.8,8.6,6.3
"41","013","Crook County, OR",8.5,9.2,9.6,8.3,7,5.9,6.2,9.9,18.2,12.9,11.3,10.7,9.7,8.4,7.2,6.8,6.2,5.8,5.1,8.8,6.7
"41","015","Curry County, OR",7.2,8,8.4,7.5,6.9,6.8,6.5,8.1,13.2,12.7,11.6,11.1,10.3,9,7.6,6.6,6,5.9,5.1,8.7,6.7
"41","017","Deschutes County, OR",6.5,7.7,7.8,6.8,5.7,4.6,5,8.2,14.9,15.9,14.3,13.6,12.1,9.8,8.5,4.8,4.2,4.1,3.9,8,5.3
"41","019","Douglas County, OR",8.4,8.8,9.8,9.3,8.2,7.4,7.7,9.9,15.7,12.6,12,11.8,10.6,10.2,8.5,6.2,5.3,5.2,4.8,7.7,5.8
"41","021","Gilliam County, OR",6,6.5,6.8,6.1,5.8,4.8,4.5,4.3,6.9,13.8,12.3,11.3,9.5,7.8,6,5.9,4.2,3.8,3.6,6.3,4.8
"41","023","Grant County, OR",9.3,9.4,10.4,9.8,9.7,8.3,8,10.6,13.7,14,12.7,12,10.6,9.2,7.7,7.5,6.8,6.8,6.8,8.4,6.7
"41","025","Harney County, OR",12.4,9.6,10.9,9.5,8.8,8,7.3,9.5,16.3,9,9.7,10.1,9.5,8.1,6.5,6.1,6.2,5.8,5.2,5.9,5.1
"41","027","Hood River County, OR",7.6,8.2,8.5,7.4,6.3,5.4,4.5,5.4,8.2,13.7,13.8,14,12.4,10.5,8.9,4.1,3.5,3.2,3.1,6.3,4.5
"41","029","Jackson County, OR",6.6,7.4,7.7,7.1,6.2,5.7,5.6,7.9,12.8,14.2,13.3,11.8,11.6,9.6,7.3,5.6,4.7,4.6,4.3,7.8,5.4
"41","031","Jefferson County, OR",6.8,6.8,7,6.3,6,5.6,6.7,10.1,15,8.3,7.9,7.2,6.3,5.5,4.7,6.5,5.5,5.3,5,8.2,6.5
"41","033","Josephine County, OR",8.4,8.7,9,8.3,7.3,6.6,7,9.2,14.5,12.5,11.7,11.1,9.8,8.4,6.9,6.4,5.3,5.4,4.9,7.9,6.2
"41","035","Klamath County, OR",8.6,8.9,9.8,9.4,7.7,6.6,6.9,9.2,14.1,13.7,12.7,11.8,10.5,8.9,7.4,6.6,5.8,6.2,6,8.7,6.7
"41","037","Lake County, OR",9.3,8.8,9.6,9.8,8.5,7.5,7.3,8.6,12.6,14,12.6,12.2,11.1,9.4,7.9,6.2,5.6,5.4,5.3,5.6,5.5
"41","039","Lane County, OR",6.8,7.1,8,7.3,6.1,5.4,5.2,6.7,12.3,12.9,12,11.7,10.8,9.4,8,5,4.4,4.3,4,7.9,5.5
"41","041","Lincoln County, OR",7.2,8.1,9,8.1,6.9,6,5.5,6.6,10.6,13.5,13.1,12.9,11.4,9.6,7.8,5.5,4.7,4.7,4.3,10.8,6.8
"41","043","Linn County, OR",7.7,9,10.1,9.1,7.5,6.5,6.3,7.8,14,11,9.7,8.9,8,6.9,5.9,5.6,4.7,4.6,4.3,7.7,5.6
"41","045","Malheur County, OR",8.3,8.9,9.8,9.8,8.7,6.3,5.6,7.5,10.9,11,10.4,9.9,8.8,7.8,6.8,5.4,4.6,4.4,4,5.2,4.4
"41","047","Marion County, OR",6.4,7.2,8,7.6,6.5,5.6,5.4,6.6,11.1,12.8,11.4,10.7,9.7,8.1,6.9,5,4.3,4.2,3.9,7,5.1
"41","049","Morrow County, OR",7.7,7.5,8.1,8.1,7.6,6.5,5.4,6.4,9.4,9.7,9.4,9.4,8.5,8,6.5,4.8,4.4,4.2,4.1,5.1,4.6
"41","051","Multnomah County, OR",6.3,8,8.4,7.4,6.1,5.1,4.9,5.9,10.6,11.2,10.5,10,8.9,7.4,6.1,4.2,3.6,3.6,3.2,8.6,5.6
"41","053","Polk County, OR",5.7,6.3,6.8,6.6,5.6,4.9,4.9,5.6,9.5,9.3,8.2,8.1,7.7,6.9,5.8,5,4.3,4.2,4,6.5,4.8
"41","055","Sherman County, OR",10.1,10,10.8,9.1,6.8,5.9,4.8,5.9,9.1,9.6,8.3,7.6,6.8,5.9,5,4.5,4.7,3.9,3.5,6.2,4.3
"41","057","Tillamook County, OR",6.2,6.7,7.4,7.1,6.2,5.5,4.9,5.5,9.6,9.7,9.3,8.9,8.1,6.8,5.7,4.8,4.2,4.2,3.8,8,5.5
"41","059","Umatilla County, OR",7,7.7,8.2,8,7.9,6.7,5.8,6.6,9.8,11.7,11.1,10.8,9.3,7.5,6.3,5.2,4.7,4.8,4.7,6.8,5.2
"41","061","Union County, OR",6.3,6.5,7.3,7.3,6.8,5.9,5.5,8.1,11.6,10.5,9.9,9.7,8.3,6.9,5.8,5.8,5.2,5.2,4.8,7.8,5.6
"41","063","Wallowa County, OR",9.2,8.5,9.8,9,7.5,6.5,6.1,7.6,12,10.3,9.5,9.1,8.8,7.8,6.5,6.6,5.5,5.8,5.7,7.1,5.4
"41","065","Wasco County, OR",8.7,9,9.7,8.6,7.1,5.4,4.9,6.1,9.1,10.3,10,9.4,8.4,7.3,6.3,4.7,4.1,4.1,4,7.1,5.2
"41","067","Washington County, OR",5.5,6.9,7.4,6.2,5.2,4.4,4.3,5.3,9.5,12.9,12.2,11.5,11.1,10,7.9,4,3.4,3.4,3.1,6.5,4.4
"41","069","Wheeler County, OR",8.2,7.7,7.8,7.8,6.3,6.5,5.6,6,9.1,9.6,8.8,8.4,7.6,6.6,5.7,4.1,3.8,3.4,4.2,4.3,3.3
"41","071","Yamhill County, OR",6.1,7.3,8.1,7.2,6.1,5.1,5,6.5,11.6,9,7.7,7.1,6.3,5.6,4.8,4.5,3.7,3.6,3.4,6.8,4.7
